Distance,Frequency
100,2
9,7
70,3
81,1
80,2
114,2
68,2
63,2
62,4
37,3
92,1
94,3
58,2
46,2
88,2
64,3
106,2
107,2
56,1
79,1
39,4
17,15
42,5
89,2
96,2
83,2
86,3
140,2
93,1
19,8
69,1
82,3
7,16
29,7
186,1
36,6
51,3
73,3
21,8
115,3
150,1
179,1
23,9
59,2
139,1
193,1
13,18
34,3
5,21
144,1
4,20
6,25
128,1
41,2
28,3
24,9
67,2
12,14
43,2
205,1
27,11
53,2
149,1
98,3
45,2
20,14
91,1
133,1
121,1
50,3
189,1
2,30
10,15
159,1
250,1
32,9
74,1
55,4
15,12
18,9
103,1
16,7
33,6
87,1
57,4
52,1
75,1
194,1
25,3
191,1
61,3
35,3
77,1
66,3
48,5
72,4
26,2
90,1
167,1
30,6
169,1
11,16
40,1
60,8
49,2
8,17
14,12
76,4
44,2
22,5
183,1
138,1
84,2
122,1
65,3
111,1
3,30
1,14
31,8
54,2
38,3
