Distance,Frequency
2,1
57,1
518,1
346,1
532,1
62,1
54,1
8,2
219,1
78,1
176,1
36,1
6,2
72,1
332,1
359,1
498,1
103,1
101,1
24,2
166,1
41,1
73,1
254,1
40,2
10,2
168,1
130,1
17,2
1072,1
76,1
29,3
89,1
207,1
51,1
216,1
127,1
48,1
59,1
21,1
35,2
104,1
345,1
67,1
82,3
582,1
174,2
256,1
22,1
3,2
124,1
318,1
253,1
26,2
63,1
50,1
15,4
236,1
28,4
9,1
919,1
1396,1
16,3
84,1
87,1
135,1
61,1
94,1
175,1
269,1
329,1
305,1
34,1
129,1
169,1
136,1
5,1
49,1
86,1
75,2
148,2
56,1
4,1
212,1
12,1
167,1
836,1
209,1
46,1
18,1
43,1
524,1
20,1
160,1
1,2
934,1
354,1
465,1
249,1
132,1
7,3
