Word,Frequency
the,147
and,107
to,89
of,86
we,82
that,53
in,53
is,51
a,44
i,42
our,40
are,35
america,33
this,31
not,29
it,25
but,25
for,25
all,21
be,21
as,21
nation,20
people,18
american,18
will,17
on,17
more,17
have,15
who,15
no,15
us,14
believe,14
an,14
with,13
maga,13
do,13
republicans,12
future,11
there,10
can,10
violence,10
if,9
world,9
what,9
know,9
where,9
their,9
has,8
now,8
so,8
about,8
law,8
come,8
look,8
must,8
from,8
most,7
been,7
political,7
soul,7
than,7
see,7
stand,7
at,7
ever,7
just,6
power,6
nothing,6
americans,6
elections,6
respect,6
work,6
still,6
could,6
believed,6
time,6
these,6
president,6
or,6
never,5
build,5
those,5
passed,5
threats,5
matter,5
free,5
right,5
two,5
up,5
vote,5
made,5
rule,5
speak,5
because,5
choose,5
hope,4
united,4
together,4
accept,4
sacred,4
since,4
going,4
face,4
god,4
fellow,4
each,4
light,4
single,4
own,4
need,4
get,4
justice,4
election,4
states,4
how,4
other,4
tonight,4
path,4
politics,4
hearts,3
flame,3
idea,3
independence,3
here,3
ourselves,3
big,3
cannot,3
folks,3
lives,3
fair,3
believes,3
when,3
tell,3
one,3
trump,3
republican,3
succeed,3
determined,3
after,3
better,3
were,3
behind,3
protect,3
them,3
darkness,3
greatest,3
covid,3
me,3
out,3
want,3
watch,3
forward,3
extreme,3
centuries,3
take,3
reject,3
threat,3
like,3
tool,3
make,3
constitution,3
millions,3
republic,2
proving,2
fear,2
rights,2
create,2
created,2
working,2
progress,2
refuse,2
its,2
called,2
life,2
past,2
off,2
acceptable,2
mainstream,2
200,2
lit,2
love,2
began,2
go,2
lies,2
courage,2
wrong,2
told,2
thing,2
true,2
stronger,2
differences,2
whole,2
state,2
truth,2
words,2
allow,2
chaos,2
generation,2
stop,2
let,2
assault,2
preserved,2
deserve,2
set,2
pursuit,2
wars,2
makes,2
being,2
healthcare,2
possibilities,2
even,2
belief,2
give,2
clean,2
2022,2
around,2
willingness,2
war,2
win,2
endures,2
equal,2
ago,2
freedom,2
common,2
entitled,2
important,2
extremists,2
defend,2
different,2
gun,2
new,2
asking,2
things,2
was,2
beats,2
kept,2
experiment,2
else,2
civil,2
results,2
long,2
significant,2
last,2
beacon,2
optimism,2
earth,2
moments,2
fundamental,2
doors,2
donald,2
bet,2
side,2
treated,2
affordable,2
move,2
place,2
fatal,1
notwithstanding,1
preparation,1
far,1
background,1
carnage,1
creating,1
wider,1
undermined,1
dominated,1
tested,1
lifted,1
upon,1
present,1
unique,1
signed,1
fiber,1
conservatives,1
red,1
franklin,1
total,1
gentlemen,1
decade,1
debate,1
attacking,1
hall,1
compensation,1
package,1
top,1
afford,1
often,1
complicated,1
water,1
well,1
purpose,1
choice,1
safer,1
prescription,1
either,1
little,1
secure,1
include,1
suffered,1
hear,1
begins,1
fail,1
