Word,Frequency
the,1034
and,745
to,713
of,596
we,446
in,365
a,346
our,243
i,242
that,234
for,218
is,197
are,143
this,134
it,132
not,132
but,123
as,121
america,119
will,118
on,116
have,114
all,107
more,104
us,102
people,102
with,99
be,97
their,86
american,81
from,78
world,77
who,76
at,71
do,66
nation,66
so,64
can,63
know,58
an,58
has,58
than,57
was,57
must,53
just,51
one,46
president,46
been,45
if,45
up,45
there,45
together,45
what,45
when,44
war,44
make,44
no,44
or,43
americans,42
power,42
new,42
those,40
about,39
need,37
stand,36
time,35
like,35
now,35
me,35
here,34
also,34
ever,33
these,33
law,33
last,33
work,32
them,32
future,32
where,32
united,31
ukraine,31
much,31
because,30
come,30
let,30
he,30
other,30
never,29
most,29
states,28
get,28
out,27
down,27
against,26
how,26
violence,25
jobs,25
tonight,25
going,25
right,24
see,24
want,23
two,23
believe,23
made,23
look,23
act,22
through,22
job,22
lives,22
home,22
over,22
israel,21
fellow,21
protect,21
too,21
children,20
families,20
congress,20
still,19
into,19
millions,19
each,19
workers,19
stop,19
republicans,19
god,19
first,19
soul,18
did,18
free,18
working,18
making,18
another,18
after,17
forward,17
had,17
ago,17
peace,17
better,17
pass,16
well,16
since,16
stronger,16
across,16
go,16
she,16
back,16
life,16
fair,16
health,16
companies,16
end,16
good,15
again,15
put,15
would,15
could,15
came,15
some,15
things,15
were,15
million,15
love,15
leaders,14
justice,14
then,14
middle,14
care,14
take,14
support,14
medicare,14
same,14
lost,14
hope,14
its,14
nothing,14
even,14
decades,14
great,14
without,14
climate,14
give,14
moment,14
keep,14
before,13
cut,13
sure,13
cannot,13
big,13
finish,13
cancer,13
challenges,13
around,13
idea,13
maga,13
being,13
crisis,13
his,13
hamas,13
thousands,13
think,12
administration,12
matter,12
created,12
ai,12
told,12
own,12
freedom,12
build,12
help,12
tax,12
forces,12
once,12
should,12
honor,12
face,12
billion,11
respect,11
economic,11
example,11
words,11
strong,11
political,11
public,11
putin,11
defend,11
progress,11
record,11
covid,11
threats,11
path,10
plan,10
clean,10
her,10
done,10
next,10
believed,10
change,10
rights,10
nations,10
infrastructure,10
thank,10
behind,10
used,10
long,10
social,10
office,10
something,10
ahead,10
vice,10
signed,10
members,9
moments,9
gun,9
called,9
drug,9
hold,9
does,9
vote,9
countries,9
single,9
passed,9
said,9
share,9
test,9
under,9
sacred,9
fear,9
nato,9
including,9
fight,9
clear,9
global,9
ask,9
state,9
significant,9
partners,9
lead,9
pandemic,9
safe,9
doing,9
seen,9
speak,9
truth,9
past,9
service,9
palestinian,9
far,9
left,9
constitution,9
month,9
un,9
bipartisan,9
businesses,9
needs,8
rise,8
seniors,8
politics,8
drugs,8
four,8
civil,8
fees,8
few,8
east,8
deal,8
saw,8
determined,8
veterans,8
projects,8
ban,8
place,8
happen,8
hundreds,8
best,8
which,8
friends,8
turn,8
building,8
republican,8
troops,8
affordable,8
built,8
both,8
stood,8
ensure,8
faith,8
coming,8
elections,8
inflation,8
china,8
taken,8
quote,8
child,8
live,8
threat,8
little,8
aggression,8
met,8
remember,8
fighting,7
russia,7
bring,7
centuries,7
show,7
prescription,7
investment,7
itself,7
choose,7
succeed,7
profit,7
assault,7
powerful,7
common,7
chaos,7
secure,7
leader,7
restore,7
school,7
tell,7
possibilities,7
small,7
conflict,7
october,7
while,7
courage,7
homes,7
house,7
set,7
allies,7
whether,7
prices,7
border,7
national,7
greatest,7
thing,7
competition,7
light,7
folks,7
democrats,7
term,7
full,7
attack,7
cost,7
cause,7
hearts,7
watching,6
asking,6
rule,6
debt,6
real,6
spoke,6
land,6
humanitarian,6
lies,6
means,6
possible,6
enough,6
bridges,6
risk,6
start,6
times,6
dreams,6
giving,6
food,6
beacon,6
union,6
class,6
mental,6
instead,6
death,6
bless,6
leadership,6
hard,6
weapons,6
entire,6
trust,6
statue,6
hostage,6
taking,6
laws,6
jill,6
deficit,6
equal,6
human,6
innocent,6
ukrainian,6
apart,6
women,6
50,6
close,6
ourselves,6
accountable,6
save,6
prevent,6
chips,6
schools,6
dollars,6
important,6
months,6
seek,6
off,6
access,6
alliances,6
went,6
manufacturing,6
creating,6
gave,6
resilience,6
water,6
chamber,6
meet,6
alone,6
africa,6
decision,6
historic,6
deep,5
less,5
continue,5
inflection,5
whole,5
create,5
unite,5
fraud,5
palestinians,5
hands,5
virus,5
independence,5
optimistic,5
institutions,5
factories,5
biggest,5
shot,5
terrorists,5
shared,5
benefit,5
move,5
principles,5
allow,5
europe,5
understand,5
confront,5
1,5
major,5
bet,5
internet,5
ohio,5
between,5
personal,5
win,5
fact,5
purpose,5
abuse,5
bills,5
dangerous,5
darkness,5
deserve,5
wrote,5
extremism,5
proud,5
largest,5
investments,5
limit,5
prosperous,5
least,5
able,5
7th,5
parents,5
turned,5
held,5
longer,5
else,5
products,5
level,5
enforcement,5
others,5
speaker,5
define,5
peaceful,5
extreme,5
address,5
thought,5
federal,5
costs,5
talk,5
lot,5
night,5
afford,5
reject,5
bringing,5
use,5
forget,5
silent,5
send,5
region,5
led,5
point,5
insulin,5
often,5
started,5
fund,5
watch,5
gets,4
position,4
core,4
ages,4
offer,4
defined,4
commitment,4
wealth,4
strength,4
belong,4
reduction,4
experiment,4
tried,4
iran,4
thanks,4
closed,4
began,4
unfair,4
begin,4
election,4
promise,4
paid,4
neighbors,4
took,4
unleashed,4
difficult,4
diabetes,4
officers,4
corporations,4
call,4
committed,4
helping,4
open,4
rate,4
career,4
side,4
jewish,4
police,4
results,4
republic,4
treated,4
hear,4
grandchildren,4
background,4
values,4
essential,4
training,4
rebuild,4
launched,4
reform,4
medical,4
old,4
week,4
getting,4
education,4
fundamental,4
eight,4
mass,4
withstand,4
written,4
raise,4
lower,4
saving,4
billions,4
charter,4
college,4
such,4
commit,4
air,4
within,4
brave,4
joined,4
taxes,4
hate,4
investing,4
artificial,4
toxic,4
sick,4
doug,4
pain,4
pride,4
stands,4
uphold,4
oval,4
opportunities,4
charging,4
answer,4
heart,4
accept,4
got,4
until,4
press,4
vietnam,4
found,4
joining,4
room,4
daughter,4
am,4
different,4
faced,4
represent,4
defense,4
facing,4
civilians,4
responsible,4
feel,4
later,4
kept,4
challenge,4
imagine,4
protecting,4
join,4
flame,4
profits,4
during,4
court,4
intelligence,4
partnerships,4
provide,4
potential,4
earth,4
tested,4
makes,4
pits,4
dangers,4
benefits,4
plans,4
12,4
white,4
harris,4
10,4
division,4
wrong,4
growing,4
roads,4
partner,4
true,4
red,4
freedoms,4
generation,4
transform,3
impossible,3
blue,3
higher,3
council,3
mpox,3
terrorist,3
tough,3
concentration,3
happened,3
strongest,3
greater,3
attacked,3
actions,3
decisions,3
moved,3
storm,3
hunger,3
tool,3
weeks,3
failed,3
broken,3
themselves,3
heard,3
rebuilding,3
exposed,3
needed,3
destruction,3
disagreement,3
sake,3
partnership,3
works,3
walk,3
news,3
matters,3
era,3
applause,3
earlier,3
front,3
trump,3
increase,3
named,3
ground,3
goes,3
throughout,3
communities,3
constant,3
profound,3
keeping,3
remains,3
credit,3
known,3
enemies,3
worth,3
incoming,3
stepping,3
him,3
second,3
painful,3
message,3
reduce,3
longest,3
terrorism,3
junk,3
street,3
solution,3
top,3
asked,3
high,3
earn,3
losing,3
electric,3
certain,3
critical,3
entitled,3
worst,3
honest,3
advantage,3
standing,3
issue,3
advanced,3
standards,3
force,3
mr,3
6th,3
deliver,3
scars,3
surprise,3
measure,3
tomorrow,3
age,3
black,3
agree,3
son,3
obama,3
three,3
optimism,3
wider,3
cities,3
200,3
survival,3
declaration,3
leave,3
spread,3
crime,3
russian,3
uniting,3
rage,3
ambassador,3
view,3
overseas,3
raging,3
israelis,3
determine,3
fail,3
six,3
250,3
speaking,3
racism,3
along,3
urgent,3
2020,3
holds,3
bill,3
opening,3
drive,3
recognition,3
south,3
highest,3
announced,3
kamala,3
chief,3
controls,3
supreme,3
ava,3
faster,3
stock,3
forgotten,3
taught,3
aid,3
serve,3
rules,3
requires,3
targeted,3
guarantee,3
happens,3
providing,3
prevailed,3
torch,3
degree,3
brought,3
assistance,3
moving,3
anger,3
refuse,3
government,3
ten,3
conviction,3
obligation,3
hell,3
generations,3
terror,3
responders,3
believes,3
pledge,3
20,3
center,3
price,3
threatens,3
pelosi,3
senate,3
reason,3
sudan,3
man,3
friend,3
recent,3
ongoing,3
despair,3
oath,3
resolve,3
developing,3
wars,3
walked,3
add,3
risks,3
kid,3
struggle,3
edge,3
dream,3
industries,3
meanwhile,3
attacks,3
felt,3
low,3
harbor,3
