document,year,president
jb1.txt,2025,Donald Trump
jb2.txt,2024,Joe Biden
jb3.txt,2024,Joe Biden
jb4.txt,2024,Joe Biden
jb5.txt,2024,Joe Biden
jb6.txt,2024,Joe Biden
jb7.txt,2024,Joe Biden
jb8.txt,2023,Joe Biden
jb9.txt,2023,Joe Biden
jb10.txt,2023,Joe Biden
jb11.txt,2022,Joe Biden
jb12.txt,2022,Joe Biden
jb13.txt,2022,Joe Biden
jb14.txt,2022,Joe Biden
jb15.txt,2022,Joe Biden
jb16.txt,2022,Joe Biden
jb17.txt,2022,Joe Biden
jb18.txt,2021,Joe Biden
jb19.txt,2021,Barack Obama
jb20.txt,2021,Barack Obama
jb21.txt,2021,Barack Obama
jb22.txt,2021,Barack Obama
jb23.txt,2021,Barack Obama
jb24.txt,2021,Barack Obama
jb25.txt,2021,Barack Obama
jb26.txt,2021,Barack Obama
jb27.txt,2021,Barack Obama
jb28.txt,2021,Barack Obama
